id,character_id,display_name,category,armor_type,is_combat_enemy,kill_score,spirit_point_value,base_health,base_health_multiplier,provenance_origin,provenance_dev_name,provenance_source
DD_DesertNomad,DD_DesertNomad,Sandsworn Husk,Enemy,Leather,true,2.0,2.0,,2.0612,datamine,,
DD_DesertWarrior,DD_DesertWarrior,Tombguard Reaver,Elite,Plate,true,3.0,3.0,,3.2715,datamine,,
DD_NightboundMagi,DD_NightboundMagi,Nightbound Magi,Elite,Cloth,true,5.0,5.0,,4.4541,datamine,,
DD_WitheringMagi,DD_WitheringMagi,Acolyte of Sinnari,Enemy,Leather,true,3.0,3.0,,2.6887,datamine,,
DR_BarbedRoot,DR_BarbedRoot,Twisted Root,Enemy,,true,0.0,0.0,,1.9143,datamine,,
DR_BloodfangMauler,DR_BloodfangMauler,Bloodfang,Enemy,Leather,true,3.0,3.0,,2.2608,datamine,,
DR_BossCultLeader,DR_BossCultLeader,Prophet Ez'rath,Boss,Cloth,true,0.0,45.0,,17.17956,datamine,,
DR_BossDemonPlant,DR_BossDemonPlant,"Vun’Kahr, the Thorned Maw",Boss,,true,0.0,45.0,,25.98048,datamine,,
DR_BossGateWizard,DR_BossGateWizard,"Moar'gore, Master of Sacrifice",Boss,Cloth,true,0.0,45.0,,20.298,datamine,,
DR_BossSummonedDemon_Portal,DR_BossSummonedDemon_Portal,Demonic Portal,Elite,Leather,true,0.0,0.0,2000.0,,datamine,,
DR_BurningDemon,DR_BurningDemon,Invading Immolite,Enemy,Leather,true,0.0,0.0,1800.0,,datamine,,
DR_CultistCaster,DR_CultistCaster,Profane Invoker,Enemy,Leather,true,3.0,3.0,,2.5009,datamine,,
DR_CultistInitiate,DR_CultistInitiate,Initiate,Enemy,Leather,true,1.0,1.0,,0.6685,datamine,,
DR_CultistMajorCaster,DR_CultistMajorCaster,Hellcaller,Elite,Leather,true,4.0,4.0,,3.088,datamine,,
DR_CultistSickle,DR_CultistSickle,Sickle,Enemy,Leather,true,1.0,1.0,,1.28754,datamine,,
DR_DangerousBrute,DR_DangerousBrute,Executioner,Elite,Leather,true,5.0,5.0,,4.391,datamine,,
DR_FlyingImp,DR_FlyingImp,Flying Imp,Enemy,Leather,true,,,,,datamine,,
DR_HornedDemon,DR_HornedDemon,Hulking Bulgore,Enemy,Leather,true,4.0,4.0,,3.5898,datamine,,
DR_Mancatcher,DR_Mancatcher,Bloodfang Raider,Enemy,Leather,true,3.0,3.0,,2.33,datamine,,
DR_Ritualist,DR_Ritualist,Chosen,Enemy,Leather,true,0.0,0.0,,1.0647,datamine,,
DR_RuinsLasher,DR_RuinsLasher,Ruins Lasher,Enemy,Leather,true,1.0,1.0,,1.3532,datamine,,
DR_Slaughtervine,DR_Slaughtervine,Slaughtervine,Enemy,Leather,true,1.0,1.0,,1.44,datamine,,
DR_WaveSummoner,DR_WaveSummoner,Demonic Portal,Enemy,Leather,true,,,,,datamine,,
EM_BossGiantTroll,EM_BossGiantTroll,Godfall Titan,Boss,,false,0.0,45.0,,21.294,datamine,,
EM_BossVaerith,EM_BossVaerith,Vaerith Vorn,Boss,,true,0.0,3.0,,3.0,datamine,,
FK_BossElfDragon,FK_BossElfDragon,Cithrel,Boss,Leather,true,0.0,45.0,,27.37413,datamine,,
FK_BossFreezingWaterLord,FK_BossFreezingWaterLord,Ancient Koros,Boss,,true,0.0,45.0,,21.6231,datamine,,
FK_BossMirroredRangerCaptain,FK_BossMirroredRangerCaptain,Mirrored Ranger Captain,Elite,Leather,true,0.0,3.0,,0.915,datamine,,
FK_BossRangerCaptain,FK_BossRangerCaptain,"Noor, The Betrayer",Boss,Leather,true,0.0,45.0,,22.5522,datamine,,
FK_ElfCleric,FK_ElfCleric,Corrupter,Elite,Cloth,true,5.0,5.0,,4.256,datamine,,
FK_ElfDuelist,FK_ElfDuelist,Blade of Cithrel,Elite,Leather,true,3.0,3.0,,3.2265,datamine,,
FK_ElfGoon,FK_ElfGoon,Eldrin Recruit,Enemy,Plate,true,1.0,2.0,,1.8283,datamine,,
FK_ElfGuard,FK_ElfGuard,Eldrin Sentinel,Elite,Plate,true,3.0,3.0,,3.653,datamine,,
FK_ElfIllusionist,FK_ElfIllusionist,Deceitful Scholar,Elite,Cloth,true,5.0,5.0,,4.5306,datamine,,
FK_ElfRanger,FK_ElfRanger,Tundra Stalker,Elite,Leather,true,2.0,2.0,,2.5735,datamine,,
FK_IceGolem,FK_IceGolem,Spellbound Golem,Elite,Leather,true,5.0,4.0,,4.182,datamine,,
FK_IceShardling,FK_IceShardling,Ice Shardling,Enemy,Leather,true,1.0,1.0,,0.6877,datamine,,
FM_AshenArsonist,FM_AshenArsonist,Ashen Firestarter,Enemy,Leather,true,,,,,datamine,,
FM_Bear,FM_Bear,Grizzled Bear,Enemy,Plate,true,,,,,datamine,,
FM_BullyBasher,FM_BullyBasher,"Lunk, the Bully",Elite,,true,,,,,datamine,,
FM_Facestabber,FM_Facestabber,Knife Prodder,Enemy,,true,,,,,datamine,,
FM_FrenziedLooter,FM_FrenziedLooter,Frenzied Scavenger,Enemy,Leather,true,,,,,datamine,,
FM_GravesnareKidnapper,FM_GravesnareKidnapper,Itsy Bitsy Spider,Elite,,true,,,,,datamine,,
FM_Invoker,FM_Invoker,Invoker,Enemy,Leather,true,,,,,datamine,,
FM_Pillager,FM_Pillager,Pillager,Enemy,Leather,true,,,,,datamine,,
FM_RotheartRecluse,FM_RotheartRecluse,Rotheart Widow,Enemy,,true,,,,,datamine,,
FM_Shinchopper,FM_Shinchopper,Bonechopper,Enemy,,true,,,,,datamine,,
FM_Slaver,FM_Slaver,Brogg's Messenger,Elite,Leather,true,,,,,datamine,,
FM_Spiderling,FM_Spiderling,Spiderling,Enemy,,true,,,,,datamine,,
FM_Stag,FM_Stag,Redhart Stag,Enemy,Plate,true,,,,,datamine,,
FM_Wolf,FM_Wolf,Boreal Wolf,Enemy,Plate,true,,,,,datamine,,
IC_Assassin,IC_Assassin,Coldheart Assassin,Elite,Leather,true,3.0,3.0,,2.1203,datamine,,
IC_BossMagistrate,IC_BossMagistrate,Apostate Veras,Boss,Leather,true,0.0,45.0,,19.79514,datamine,,
IC_GlacialSprite,IC_GlacialSprite,Frozen Remnant,Enemy,Leather,true,1.0,1.0,,1.0256,datamine,,
IC_GreaterIceElemental,IC_GreaterIceElemental,Greater Ice Elemental,Elite,Leather,true,8.0,8.0,,5.819,datamine,,
IC_Healer,IC_Healer,Eldrin Chronomancer,Elite,Cloth,true,4.0,4.0,,4.169,datamine,,
IC_Lookout,IC_Lookout,Expedition Lookout,Enemy,Leather,true,1.0,1.0,,0.7128,datamine,,
JS_NPCRime,JS_NPCRime,Rime,Enemy,Leather,false,0.0,0.0,,3.0,datamine,,
JS_NPCSylvie,JS_NPCSylvie,Sylvie,,,false,0.0,0.0,,3.0,datamine,,
JS_TutorialGoblin,JS_TutorialGoblin,Orc Bandit,Enemy,Leather,false,0.0,0.0,,0.12,datamine,,
JS_TutorialOrc,JS_TutorialOrc,Orc Brawler,Enemy,Leather,false,0.0,0.0,,1.0,datamine,,
JS_TutorialOrcCaster,JS_TutorialOrcCaster,Orc Spellcaster,Enemy,Leather,false,0.0,0.0,,1.5,datamine,,
JS_TutorialSmallGoblin,JS_TutorialSmallGoblin,Orc Lookout,Enemy,Leather,false,0.0,0.0,,0.05,datamine,,
JS_TutorialTroll,JS_TutorialTroll,Troll Wagonsmasher,Enemy,Leather,false,0.0,0.0,,3.6,datamine,,
MC_BloodAnimation,MC_BloodAnimation,Sanguine Sybling,Enemy,Cloth,true,0.0,0.0,,0.7238,datamine,,
MC_BloodCaster,MC_BloodCaster,Heskyr Magus,Enemy,,true,4.0,4.0,,4.134,datamine,,
MC_BloodCrystal,MC_BloodCrystal,Blood Crystal,Elite,Plate,true,0.0,0.0,,3.653,datamine,,
MC_BloodGrunt,MC_BloodGrunt,Heskyr Brood,Enemy,,true,1.5,1.5,,1.7251,datamine,,
MC_BloodGuard,MC_BloodGuard,Heskyr Zealot,Elite,Plate,true,4.0,4.0,,2.953,datamine,,
MC_BloodHound,MC_BloodHound,Stalking Grim,Enemy,Leather,true,2.5,2.5,,1.9608,datamine,,
MC_BloodSummoner,MC_BloodSummoner,Sanguine Disciple,Elite,Cloth,true,6.0,6.0,,5.534,datamine,,
MC_BossGuardian,MC_BossGuardian,"Xurath, Fist of the Warden",Boss,Leather,true,0.0,45.0,,24.3174,datamine,,
MC_WanderingGhostGuard,MC_WanderingGhostGuard,Restless Protector,Enemy,,true,2.0,2.0,,3.412,datamine,,
MC_WanderingGhostPriest,MC_WanderingGhostPriest,Meandering Acolyte,Enemy,,true,2.0,2.0,,2.245,datamine,,
MC_WanderingGhostWarrior,MC_WanderingGhostWarrior,Undying Champion,Enemy,,true,2.0,2.0,,2.675,datamine,,
MF_BlightedMorningGlory,MF_BlightedMorningGlory,Blighted Dawnbloom,Enemy,,true,2.0,2.0,,1.59858,datamine,,
MF_BossNecrolord,MF_BossNecrolord,Malgut the Fetid,Boss,Cloth,true,0.0,45.0,,22.1965,datamine,,
MF_BossTotem,MF_BossTotem,Bloodstone Totem,Boss,,true,0.0,0.0,,0.78,datamine,,
MF_BossUnicorn,MF_BossUnicorn,Akari the Everdawn Lord,Boss,,true,0.0,0.0,,6.1289,datamine,,
MF_DawnstoneGuardian,MF_DawnstoneGuardian,Bloodstone Goliath,Elite,,true,5.0,5.0,,4.837,datamine,,
MF_FoulTotemic,MF_FoulTotemic,Corrupted Totemic,Elite,,true,4.0,4.0,,3.2023,datamine,,
MF_MangyBrute,MF_MangyBrute,Mangy Brute,Enemy,,true,1.0,1.0,,1.3898,datamine,,
MF_Skittershard,MF_Skittershard,Skittershard,Enemy,,true,1.0,1.0,,0.7965,datamine,,
MF_Totem,MF_Totem,Bloodstone Totem,Enemy,,true,0.0,0.0,,0.78,datamine,,
NP_BossHellcaller,NP_BossHellcaller,Warlord Brogg,Boss,Leather,true,0.0,45.0,,20.4755,datamine,,
NP_BullyBasher,NP_BullyBasher,Bully Basher,Enemy,,true,4.0,4.0,,3.2411,datamine,,
NP_Facestabber,NP_Facestabber,Facestabber,Enemy,,true,2.0,2.0,,1.7403,datamine,,
NP_HalfMancatcher,NP_HalfMancatcher,Mancatcher,Enemy,Leather,true,2.0,2.0,,1.4943,datamine,,
NP_Shinchopper,NP_Shinchopper,Shinchopper,Enemy,,true,1.0,1.0,,1.4306,datamine,,
NP_Stormscreamer,NP_Stormscreamer,Stormscreamer,Elite,,true,3.0,3.0,,2.4254,datamine,,
PR_BarbarousLasher,PR_BarbarousLasher,Barbarous Lasher,Enemy,,true,5.0,5.0,,4.143,datamine,,
PR_Bilgerat,PR_Bilgerat,Bilgerat,Enemy,,true,4.0,4.0,,2.2757,datamine,,
PR_BlunderbussPirate,PR_BlunderbussPirate,Soulpowder Buccaneer,Enemy,Leather,true,3.0,3.0,,2.0792,datamine,,
PR_BossAnchor,PR_BossAnchor,First Mate Marrow,Boss,Leather,true,0.0,45.0,,21.957,datamine,,
PR_BossPirateCaptain,PR_BossPirateCaptain,Deathless Katrine,Boss,Leather,true,0.0,22.0,,10.5495,datamine,,
PR_BossTreasureDemon,PR_BossTreasureDemon,Bael'Aurum,Boss,Leather,true,0.0,45.0,,21.6116,datamine,,
PR_CannonPirate,PR_CannonPirate,Scuttlejack Cannoneer,Enemy,Leather,true,5.0,5.0,,3.2124,datamine,,
PR_GoldenConstructVolatile,PR_GoldenConstructVolatile,Greedbound Prism,Elite,Leather,true,2.0,2.0,,2.3261,datamine,,
PR_PirateGrunt,PR_PirateGrunt,Gravescythe,Enemy,,true,2.5,2.0,,2.3251,datamine,,
PR_PossessedArmor,PR_PossessedArmor,Greedspawn Sentinel,Enemy,,true,5.0,5.0,,5.212,datamine,,
PR_Scallywag,PR_Scallywag,Saltsworn Scallywag,Enemy,Leather,true,2.0,2.0,,1.7044,datamine,,
PR_Shark,PR_Shark,Shark,Enemy,,true,0.0,1.0,,0.613,datamine,,
PR_ShipRat,PR_ShipRat,Gunpowder Rat,Enemy,,true,0.0,0.0,,0.3,datamine,,
PR_SpectralSwab,PR_SpectralSwab,Spectral Swab,Enemy,,true,0.0,0.0,,1.0,datamine,,
PR_Swashbuckler,PR_Swashbuckler,Bleachbone Brute,Enemy,,true,4.0,4.0,,3.4771,datamine,,
PR_TigerCat,PR_TigerCat,Jungle Stalker,Enemy,,true,3.0,3.0,,2.4529,datamine,,
PR_WaterCaster,PR_WaterCaster,Tide Witch,Enemy,,true,5.0,5.0,,2.3822,datamine,,
SG_BossSiren,SG_BossSiren,Sinthara,Boss,Leather,true,0.0,45.0,,21.4767,datamine,,
SG_CoralLasher,SG_CoralLasher,Witchreef Lasher,Enemy,Leather,true,1.0,1.0,,1.1128,datamine,,
SG_DrownedSailor,SG_DrownedSailor,Vengeful Shade,Elite,Plate,true,3.0,3.0,,2.053,datamine,,
SG_EchoingSpirit,SG_EchoingSpirit,Tormented Spectre,Enemy,Leather,true,2.0,2.0,,2.1293,datamine,,
SG_EchoingSpiritGhost,SG_EchoingSpiritGhost,Premonition,,,true,0.0,1.0,,2.289,datamine,,
SG_GhostCorpse,SG_GhostCorpse,Lost Soul,Enemy,Leather,true,0.5,1.0,,0.8269,datamine,,
SG_GhostEruptor,SG_GhostEruptor,Deepbound Magi,Elite,Cloth,true,5.0,5.0,,4.54,datamine,,
SG_GhostFerventSoldier,SG_GhostFerventSoldier,Fading Raider,Enemy,Leather,true,2.0,2.0,,2.5552,datamine,,
SG_GhostOrc,SG_GhostOrc,Hollowed Corsair,Elite,Leather,true,5.0,5.0,,3.3685,datamine,,
SG_WaterElemental,SG_WaterElemental,Water Elemental,Enemy,,true,3.0,3.0,,3.6846,datamine,,
SH_BossSpider,SH_BossSpider,"Vexira, Mother of Nightmares",Boss,,true,0.0,45.0,,18.93086,datamine,,
SH_CarrionHorror,SH_CarrionHorror,Carrion Horror,Elite,,true,5.0,5.0,,4.66,datamine,,
SH_Eggbearer,SH_Eggbearer,Eggbearer,Enemy,,true,2.0,2.0,,1.4306,datamine,,
SH_GravesnareKidnapper,SH_GravesnareKidnapper,Gravesnare Kidnapper,Enemy,,true,4.0,4.0,,3.2457,datamine,,
SH_QuiveringEggSac,SH_QuiveringEggSac,Quivering Egg Sac,,,false,,,,1.0,datamine,,
SH_RotheartRecluse,SH_RotheartRecluse,Rotheart Recluse,Enemy,,true,3.0,3.0,,2.0115,datamine,,
SH_Spiderling,SH_Spiderling,Spiderling,Enemy,,true,0.0,0.0,,0.4834,datamine,,
SH_Venomdrinker,SH_Venomdrinker,Venomdrinker,Enemy,,true,3.0,3.0,,2.3271,datamine,,
SP_BossMarcass,SP_BossMarcass,Overlord Varux,Boss,Plate,true,0.0,45.0,,20.6517,datamine,,
SP_FrostWolf,SP_FrostWolf,Dire Wolf,Enemy,,true,2.0,2.0,,2.601,datamine,,
SP_PolarBear,SP_PolarBear,Glacial Bear,Enemy,,true,7.0,7.0,,4.623,datamine,,
ST_BigBloodElemental,ST_BigBloodElemental,Heart of Rot,Enemy,,true,6.0,6.0,,4.6233,datamine,,
ST_BloodBrute,ST_BloodBrute,Crimson Abomination,Enemy,,true,0.0,5.0,,8.345,datamine,,
ST_BloodCreation,ST_BloodCreation,Clot Spawn,Enemy,,true,0.0,5.0,,0.34,datamine,,
ST_BloodCreationBig,ST_BloodCreationBig,Greater Clot Spawn,Enemy,,true,0.0,5.0,,1.36,datamine,,
ST_BloodOrb,ST_BloodOrb,Blood Orb,,,true,0.0,,,0.8,datamine,,
ST_BossArbiter,ST_BossArbiter,"Vel’korath the Sanctified, Vision of the Covenant",Boss,,true,0.0,45.0,,40.3967,datamine,,
ST_BossArbiterIllusion,ST_BossArbiterIllusion,Vessel of Vel'korath,Enemy,,true,0.0,,,50.3967,datamine,,
ST_BossDefenseEye,ST_BossDefenseEye,"Han-Eth, Sentry of Xul",Boss,,true,0.0,45.0,,36.59505,datamine,,
ST_BossGateKeeper,ST_BossGateKeeper,"Xul’vorith, Sentinel of the Bloodbound Gate",Boss,,true,0.0,45.0,,30.59505,datamine,,
ST_SanguineCrusher,ST_SanguineCrusher,Sanguine Crusher,Elite,,true,6.0,6.0,,5.5404,datamine,,
ST_SmallBloodElemental,ST_SmallBloodElemental,Sanguine Echo,Enemy,,true,2.0,2.0,,1.291,datamine,,
Shared_PolymorphChickenLarge,Shared_PolymorphChickenLarge,Large Chicken,,,false,0.0,0.0,,3.12,datamine,,
Shared_PolymorphChickenMedium,Shared_PolymorphChickenMedium,Medium Chicken,Elite,Plate,true,0.0,0.0,,2.07,datamine,,
Shared_PolymorphChickenSmall,Shared_PolymorphChickenSmall,Small Chicken,,,false,0.0,0.0,,0.91,datamine,,
UB_BossLifebringer,UB_BossLifebringer,Lifebringer,Boss,Cloth,true,0.0,30.0,45000.0,,datamine,,
UB_BossLifebringerCaster,UB_BossLifebringerCaster,Caster,Elite,Leather,true,0.0,30.0,8000.0,,datamine,,
UB_BossLifebringerLunatic,UB_BossLifebringerLunatic,Lunatic,Elite,Leather,true,0.0,30.0,8000.0,,datamine,,
UB_BossLifebringerWarrior,UB_BossLifebringerWarrior,Warrior,Elite,Mail,true,0.0,30.0,8000.0,,datamine,,
UB_BossMarcassCreeMinion,UB_BossMarcassCreeMinion,Skullsaber,Enemy,Cloth,true,0.0,1.0,47000.0,,datamine,,
UB_BossOperator,UB_BossOperator,Operator X,Boss,,true,0.0,30.0,45000.0,,datamine,,
UB_BossSiegeGraveyard,UB_BossSiegeGraveyard,Boss Siege Graveyard,Boss,Leather,true,0.0,30.0,24075.0,,datamine,,
UB_BossWarMachine,UB_BossWarMachine,War Machine,Boss,,true,0.0,30.0,45000.0,,datamine,,
UB_DefendingArcher,UB_DefendingArcher,Defending Archer,,Leather,true,0.0,0.0,3800.0,,datamine,,
UB_DefendingCleric,UB_DefendingCleric,Defending Cleric,,Leather,true,0.0,0.0,3600.0,,datamine,,
UB_DefendingKnight,UB_DefendingKnight,Defending Knight,,Leather,true,0.0,0.0,4000.0,,datamine,,
UB_FallenCleric,UB_FallenCleric,Fallen Cleric,Enemy,Leather,true,4.0,4.0,4400.0,,datamine,,
UB_FerventSoldier,UB_FerventSoldier,Fervent Soldier,Enemy,Leather,true,2.0,2.0,,2.5552,datamine,,
UB_MinionRepairBot,UB_MinionRepairBot,Repair Bot,Elite,Plate,true,0.0,1.0,2000.0,,datamine,,
UB_NecroticMass,UB_NecroticMass,Necrotic Mass,Enemy,Leather,true,5.0,5.0,5000.0,,datamine,,
UB_RaisedKnight,UB_RaisedKnight,Raised Knight,Enemy,Leather,true,2.0,2.0,5000.0,,datamine,,
UB_ReanimatedArcher,UB_ReanimatedArcher,Reanimated Archer,Enemy,Leather,true,3.0,3.0,,1.829,datamine,,
UB_SoulstainedShambler,UB_SoulstainedShambler,Shambler,Enemy,Leather,true,1.0,1.0,2400.0,,datamine,,
UC_BossArchbishop,UC_BossArchbishop,Sin-Magir,Boss,Leather,true,0.0,45.0,,22.1188,datamine,,
UC_EvilSpirit,UC_EvilSpirit,Dire Rat,Enemy,Cloth,true,1.0,1.0,,0.703,datamine,,
UC_RottenWretchHands,UC_RottenWretchHands,Rotten Wretch,Enemy,Leather,true,1.0,1.0,800.0,,datamine,,
UM_BossDrazhulTheFleshbroker,UM_BossDrazhulTheFleshbroker,Drazhul the Fleshbroker,Boss,Leather,true,0.0,23.0,,12.9152,datamine,,
UM_BossSladetraderBrull,UM_BossSladetraderBrull,Slavetrader Brull,Boss,Leather,true,0.0,22.0,,11.6314,datamine,,
UM_Desecrater,UM_Desecrater,Desecrator,Enemy,Leather,true,3.0,3.0,,2.3073,datamine,,
UM_GorestainedButcher,UM_GorestainedButcher,Gorestained Butcher,Elite,,true,5.0,5.0,,4.377,datamine,,
UM_HornedSeer,UM_HornedSeer,Horned Seer,Enemy,,true,3.0,3.0,,2.4097,datamine,,
UM_Outrunner,UM_Outrunner,Outrunner,Enemy,Plate,true,2.0,2.0,,1.4943,datamine,,
UM_SlaveCage,UM_SlaveCage,Slavebind Totem,Enemy,,true,4.0,4.0,,0.25,datamine,,
UM_UrrakSlaver,UM_UrrakSlaver,Urrak Slaver,Enemy,Leather,true,3.0,3.0,,2.8845,datamine,,
UM_UrrakWitch,UM_UrrakWitch,Urrak Witch,Enemy,,true,4.0,4.0,,2.9356,datamine,,
VV_BlackburnMystic,VV_BlackburnMystic,Bleakfrost Mystic,Enemy,Leather,true,4.0,4.0,,2.1293,datamine,,
VV_BlackburnSlaver,VV_BlackburnSlaver,Bleakfrost Slaver,Enemy,Leather,true,3.0,3.0,,3.0888,datamine,,
VV_BlackmistCutthroat,VV_BlackmistCutthroat,Nightmist Cutthroat,Enemy,Leather,true,3.0,3.0,,1.7952,datamine,,
VV_BlackmistShadow,VV_BlackmistShadow,Shadow of Ulmorgat,Elite,Leather,true,5.0,5.0,,3.7529,datamine,,
VV_BlackmistShadowMinion,VV_BlackmistShadowMinion,Nightmist Fiend,Enemy,,true,0.0,0.0,,1.2343,datamine,,
VV_BlackmistWhisperer,VV_BlackmistWhisperer,Nightmist Whisperer,Enemy,Leather,true,4.0,4.0,,2.402,datamine,,
VV_BossChilgar,VV_BossChilgar,Chilgar the Drowned,Boss,,true,0.0,45.0,,17.8773,datamine,,
VV_BossChilgarLargeOrb,VV_BossChilgarLargeOrb,Large Orb,Enemy,Cloth,true,,,,,datamine,,
VV_BossFrostTroll,VV_BossFrostTroll,Fodir Kaldur,Boss,Leather,true,0.0,45.0,,18.2441,datamine,,
VV_BossFrostTroll_IceBlock,VV_BossFrostTroll_IceBlock,Ice Tomb,,,true,0.0,0.0,,0.25,datamine,,
VV_BossKaldursonFire,VV_BossKaldursonFire,Kaldurson Eldsupptok,Enemy,,true,15.0,15.0,,7.2333,datamine,,
VV_BossKaldursonIce,VV_BossKaldursonIce,Kaldurson Isilagður,Enemy,,true,15.0,15.0,,7.1892,datamine,,
VV_BossVikingMystic,VV_BossVikingMystic,Auga Handhafi the Blind,Boss,Leather,true,0.0,45.0,,18.9242,datamine,,
VV_BossVikingMystic_RuneMinion1,VV_BossVikingMystic_RuneMinion1,Nightmist Fiend,Enemy,,true,0.0,1.0,,0.6375,datamine,,
VV_ChilgarSpike,VV_ChilgarSpike,Grasping Pillar,Enemy,,true,0.0,1.0,,0.6375,datamine,,
VV_ColdbrineFiend,VV_ColdbrineFiend,Coldbrine Fiend,Enemy,Leather,true,3.0,3.0,,2.5233,datamine,,
VV_CravenHiisi,VV_CravenHiisi,Craven Hiisi,Enemy,Leather,true,1.0,1.0,,1.2987,datamine,,
VV_FrenziedLooter,VV_FrenziedLooter,Frenzied Looter,Enemy,Leather,true,1.0,1.0,,1.4193,datamine,,
VV_IcebitePillager,VV_IcebitePillager,Raging Pillager,Enemy,Leather,true,2.0,2.0,,2.665,datamine,,
VV_IcebiteReaver,VV_IcebiteReaver,Icebite Reaver,Elite,Leather,true,5.0,5.0,,4.291,datamine,,
VV_SootstainedArsonist,VV_SootstainedArsonist,Ashen Arsonist,Enemy,Leather,true,3.0,3.0,,2.30897,datamine,,
